Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
9.01688742,55.5661491,8.89396153,55.83813703,1,346,31.24
10.52468885,55.17876846,10.49930672,55.13097468,1,197,5.56
8.95267034,56.14219771,9.15762141,56.13579896,2,93,12.73
9.97477036,56.76993809,9.23779608,56.9188957,2,291,47.83
9.97477036,56.76993809,9.8414759,54.96362819,2,182,201.25
9.97477036,56.76993809,10.28886161,56.75487617,1,95,19.24
9.97477036,56.76993809,10.19194129,56.76065659,1,94,13.29
9.97477036,56.76993809,9.78428526,56.63226828,1,217,19.25
8.85730379,55.5490305,8.92627143,55.75784153,1,11,23.64
9.84169772,55.72965952,9.89391897,55.71048336,1,123,3.91
9.66958207,57.21084237,9.77578955,57.33870322,1,24,15.6
9.88704892,56.98163851,9.85556339,56.25716427,1,181,80.67
9.4116545,55.04862654,9.56918805,55.01426547,1,111,10.75
10.2503403,57.4626313,10.19597408,57.47425374,1,292,3.5
10.40685789,57.44038976,10.46058464,57.36707857,1,158,8.77
10.13688564,57.42516618,10.4799494,57.47709661,1,74,21.34
9.2939597,55.31614505,9.56918805,55.01426547,1,152,37.89
10.03168556,56.77982117,8.48820299,56.97051219,1,283,96.26
8.61685218,56.99574905,9.14370589,55.30843464,1,170,190.65
8.61685218,56.99574905,8.24072529,56.77887529,1,224,33.26
8.49004729,56.94748554,8.58942945,56.95694272,1,80,6.12
9.57397269,55.67828641,8.77858359,55.33618399,1,233,62.96
8.80163831,54.94261759,8.5223236,55.15004832,1,322,29.16
9.38319082,55.70244629,9.71521383,55.54197639,1,130,27.47
8.61016464,56.36097923,10.13374931,56.09126859,1,107,98.95
8.61016464,56.36097923,9.28147579,56.45104467,1,76,42.55
9.76185342,56.58448501,9.86580873,56.93137827,1,9,39.13
9.85316849,56.58423344,9.82875862,56.45296348,1,186,14.69
10.19506313,56.16685115,9.40914342,56.19449478,1,274,48.79
10.19506313,56.16685115,9.88182547,56.11098135,1,252,20.4
9.42949692,55.80849147,11.50169992,55.65009951,1,97,131.08
9.23259893,55.8468133,8.18988814,56.30624905,1,309,82.53
9.23259893,55.8468133,8.33953781,56.29960833,1,313,74.96
9.05474062,56.1479359,9.15762141,56.13579896,2,102,6.52
8.41956866,56.00107272,9.30436222,55.71874186,2,119,63.59
10.0036492,55.80811982,9.75047632,56.7553991,2,352,106.6
9.40756732,54.98983283,8.36724634,55.57513827,1,315,92.71
